# Nutriment calories protides glucides lipides magnesium fer calcium potassium sodium phosphore 
Abricot 48 1.4 1.1 0.39 10 13 259 1 23 23
Agneau 234 22.6 0 16 17 2.4 9 333 90 177
Ananas 64 0.4 16.3 0.1 11 0.5 22 100 1 6
Andouillette 234 18 0.1 18 20 1.6 20 200 630 160
Arthichaut 18 2.9 1.2 0.2 27 1 44 300 15 50
Asperges 19 2.7 1.5 0.3 10 0.7 21 200 3 55
Aubergine 18 1 3.1 0.2 10 0.3 8 210 3 19
Avocat 139 1.8 0.8 14.2 33 1 16 522 7 44
Banane 89 1.1 21 0.3 30 0.4 8 385 1 22
Betterave 37 1.5 7.6 0.1 22 0.7 14 279 64 24
Beurre 752 0.7 0.5 83 2 0.2 15 13 12 24
Bière(25cl) 95 0.8 7.5 0 7  tr 6 31 5 15
Biscottes 388 10 73.6 5 18 1.3 42 160 350 130
Boeuf 148 28 0 4 18 1.3 42 160 350 130
Brie 330 20.7 0 27.5 27 0.8 117 160 717 220
Brioche 410 9.9 40.5 23.3 17 1.5 43 201 495 160
Cabillaud 80 18 0 0.9 22 0.5 15 300 90 200
Cacahuètes 597 26.8 8.9 50.5 180 2.5 62 720 430 387
Café 2 0.2 0.3 0 6 0 2 66 0 2
Camembert 315 20.5 0 25.8 25 0.1 388 93 806 304
Canard 190 190 0 10 20 2.7 13 260 85 200
Carottes 31 0.8 6.6 0.3 10 0.3 27 286 35 16
Céleri 8 1.5 3.4 0.3 12 0.7 43 321 100 63
Céréales 388 5.5 86.8 1.7 22 6.3 11 83 645 93
Cerises 67 1.3 15.3 0.5 13 0.4 17 246 3 17
Champignons 15 2.1 0.5 0.5 11 1 7 372 6 105
Chips 521 5.5 42.4 36 50 2 37 1190 600 130
Chocolat 541 7.5 56.5 32 60 1.5 200 400 90 230
Chou-fleur 17 2 18 0.3 10 0.4 16 200 8 40
Citron 28 0.4 3.6 0.1 6 0.1 7 123 1 7
Cola(33cl) 130 0 33 0 3.3  tr 16 3 27 49
Cola-light(33cl) 0 0 0 0 3.3 0.09 13.2 3.3 16.5 26.4
Confiture 264 0.5 68 0.1 6 0.5 12 105 16 14
Crème-fraiche 320 2.3 2.8 33.3 4 0.2 50 100 30 60
Crevettes 103 21.8 0 1.8 69 3.3 115 221 1595 215
Croissant 410 7.5 55 17.2 16 1.2 42 136 492 124
Dinde 144 29.4 0 2.9 27 1.3 17 305 63 217
Endives 8 1 0.7 0.2 10 0.2 20 205 4 25
Epinards 17 2.8 0.8 0.3 46 2.4 112 313 57 42
Eau 0 0 0 0 1 0 8  tr 1 nd
Fraises 34 0.7 7 0.5 12 0.4 20 152 2 23
Framboises 36 1.2 7 0.6 20 0.7 22 220 3 29
Frites 274 3.8 30 15 35 0.9 15 700 10 73
Fromage-blanc(20%) 80 8.1 3.8 5.9 11 0.4 117 120 33 60
Glace-au-lait 180 3.7 26.2 7.5 14 0.2 135 180 71 109
Gruyère 378 29.4 0 28.8 45 0.8 1185 98 226 746
Hamburger 25412 9 9.6 21 2.5 59 181 479 109
Haricots-verts 24 1.8 3.9 0.2 28 1 56 243 4 38
Huile-végétale 899 0 0 99.9  tr  tr  tr  tr  tr tr
Huîtres 68 8.9 4.7 1.6 44 6.3 92 220 280 165
Jambon(cuit) 114 18 1.1 4.2 20 0.8 10 280 900 200
Jambon(fumé) 228 23 0.3 15 22 1.8 9 250 2130 190
Jus-orange(10cl) 40 0.8 8.6 0.2 11 0.2 10 180 1 16
Lait-demi-écrémé 46 3.2 4.6 1.6 10 0.1 144 166 46 85
Lapin 194 29 0 8.7 21 2.1 17 255 37 213
Lentilles 89 8.2 12.6 0.5 32 3.3 19 276 3 100
Maïs 97 3 18.2 1.2 22 0.6 4 200 304 69
Maquereau 208 16 0 16 25 2.2 20 235 515 35
Margarine 744 0.1 0.4 82.5 1 0 10 5 118 12
Mayonnaise 7101.3 0.7 78 7 0.6 15 25 410 46
Melon 34 0.7 8 0.1 14 0.2 14 297 18 17
Miel 290 0.4 76 0 3 0.5 5 47 7 17
Moules 118 20.2 3.1 2.8 68 7.9 101 206 386 235
Navet 15 0.8 2.9 0.1 7 0.3 33 167 39 25
Noisettes 646 13 9 62 160 3.7 188 600 3 310
Noix 674 14.5 10.5 63.8 159 2.5 93 480 7 359
Oeuf(2) 146 12.5 0.3 10.5 11 1.8 53 126 133 186
Oie 274 29.1 0 17.5 28 3.7 12 400 120 290
Oignon 34 1.3 7 0.2 10 0.3 25 170 6 33
Olives(vertes) 118 1.3 0 12.5 20 1.2 36 52 1609 14
Orange 42 0.7 8.1 0.2 10 0.1 40 179 4 16
Pain 271 8 56 1 26 1.4 23 120 650 90
Pamplemouse 309 5.9 0.1 9 0.2 19 141 1 12
Pâtes 124 4.7 22.9 1.2 12 0.4 10 23 2 45
Pêche 41 0.5 10 0.1 8 0.4 10 160 1 19
Petits-pois 62 5.3 9.2 0.4 26 1.5 25 190 3 113
Poire 50 0.4 12.2 0.3 7 0.2 10 125 2 13
Poireau 21 1.2 3.8 0.2 7 0.5 19 133 7 20
Pomme 49 0.3 11.7 0.3 4 0.2 5 120 3 9
Pomme-de-terre 81 1.5 18 0.1 18 0.3 6 330 4 30
Porc 247 28 0 15 24 1.1 11 400 72 220
Poulet(rôti) 226 26.3 0 13.5 19 1.3 11 190 89 140
Prunes 52 0.8 12 0.2 8 0.4 13 243 1 25
Pruneaux 163 2.5 39.8 0.3 40 2.9 50 950 12 95
Raisin 67 0.6 15.5 0.7 4 0.3 4 320 2 16
Rillettes 435 14.5 0.1 41.9 14 1 8 137 454 122
Riz 119 2.3 26.3 0.2 8 0.2 4 34 1 37
Salade(verte) 13 1 1.8 0.2 9 0.5 16 166 16 36
Salsifis 27 2.2 4.1 0.2 14 0.4 34 238 560 44
Saucisson 424 26.3 1.6 34.7 16 1.3 11 160 2100 242
Saumon(fumé) 184 21.3 0 11 28 0.8 21 420 250 1200
Sole 73 16 0 1 29 0.7 25 250 85 175
Sorbet 134 0.9 31 0.9 4 0.3 15 45 15 26
Sucre 394 0 100 0  tr 0.06 1 2  tr tr
Tartes(fruits) 276 3.2 30 15.9 11 0.5 28 161 129 37
Thon(naturel) 117 25.6 0 1.6 28 1.6 9 277 415 182
Tomates 19 0.8 3.5 0.3 11 0.4 9 226 5 24
Veau 151 31 0 3 20 2 12 460 80 236
Vin(10cl) 69 0.2 3 0 15 0.9 8 115 5 14
Whisky(2cl) 47 0 0 0  tr  tr  tr 2 1 5
Yaourt(nature) 50 4.3 4.8 1.1 13 0.1 173 203 58 111 
